source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
"Standing on one leg, we're going to reach with the opposite hand to pick up the trash and then switching sides to the other leg to pick up the next item.",じゃ、私みたいにカタ足でスクワットして反対の手でゴミを拾って、次は反対側の足を使ってゴミを拾うよ。,Time: 0:04:54.865000,,0:04:54.865000,0:05:02.640000,0:04:54.865000,0:05:02.640000
"Here we go. Starting to balance on that leg, reaching for the trash every single time.",片足でバランスをとりながら、一つずつゴミを拾っていくよ。,Time: 0:05:02.982000,,0:05:02.982000,0:05:08.910000,0:05:02.982000,0:05:08.910000
"Now, this is quite tricky, so if you fall out of it, don't worry. Just get right back into it.",難しいから、もしバランスを崩しても心配しないで。すぐにまた挑戦しよう！,Time: 0:05:09.547000,,0:05:09.547000,0:05:15.315000,0:05:09.547000,0:05:15.315000
"Oh, my gosh. There's so many plastic bottles",ペットボトルがこんなに捨てられてるなんて、,Time: 0:05:15.895000,,0:05:15.895000,0:05:18.643000,0:05:15.895000,0:05:18.643000
and even a plastic bag.,おまけにプラスチックの袋も！,Time: 0:05:19.530000,,0:05:19.530000,0:05:21.459000,0:05:19.530000,0:05:21.459000
"Now, remember, each time you see trash on the beach, we pick it up",ビーチでゴミを見つけたら、ひろって,Time: 0:05:21.868000,,0:05:21.868000,0:05:25.247000,0:05:21.868000,0:05:25.247000
and we throw it away.,捨ててね！,Time: 0:05:25.793000,,0:05:25.793000,0:05:27.244000,0:05:25.793000,0:05:27.244000
"Thank you, guys, so much for helping.",手伝ってくれてありがとう！,Time: 0:05:27.755000,,0:05:27.755000,0:05:29.769000,0:05:27.755000,0:05:29.769000
"Well done, everybody. Staying balanced on that leg.",片足でバランスをとりながら頑張ったね！,Time: 0:05:30.179000,,0:05:30.179000,0:05:33.097000,0:05:30.179000,0:05:33.097000
This is focus set. So we're using that body and that brain all together.,集中するために、体とあたまを一緒に使っていくよ！,Time: 0:05:33.609000,,0:05:33.609000,0:05:38.353000,0:05:33.609000,0:05:38.353000
You guys got it! Got less than ten seconds on the clock.,みんな、がんばって！！あと10秒だよ！,Time: 0:05:38.438000,,0:05:38.438000,0:05:41.424000,0:05:38.438000,0:05:41.424000
"Gosh, there's even a shoe.",信じられない！,Time: 0:05:42.295000,,0:05:42.295000,0:05:43.933000,0:05:42.295000,0:05:43.933000
There's some strange things on the beach.,靴まで捨てられてる。,Time: 0:05:44.308000,,0:05:44.308000,0:05:46.066000,0:05:44.308000,0:05:46.066000
wow. A message in a bottle.,ビンの中にメッセージが入ってるよ！,Time: 0:05:47.005000,,0:05:47.005000,0:05:49.110000,0:05:47.005000,0:05:49.110000
Let's look inside!,見てみよう！,Time: 0:05:49.520000,,0:05:49.520000,0:05:50.465000,0:05:49.520000,0:05:50.465000
Keep up the good work!,よく頑張ってるね！,Time: 0:05:50.935000,,0:05:50.935000,0:05:51.922000,0:05:50.935000,0:05:51.922000
And the last one. Here it goes.,最後のひとつ！いくよ！,Time: 0:05:52.977000,,0:05:52.977000,0:05:55.315000,0:05:52.977000,0:05:55.315000
"Yes. Well done, team. The beach looks so clean. Thank you.",よくやったね、みんな！ビーチがとてもきれいになったよ。ありがとう！,Time: 0:05:56.015000,,0:05:56.015000,0:06:00.793000,0:05:56.015000,0:06:00.793000
Purple squid says you rock.,君たちすごいね！,Time: 0:06:01.271000,,0:06:01.271000,0:06:03.011000,0:06:01.271000,0:06:03.011000
"After all that cleaning, let's have some fun. Time for beach bats. To do that, we're going to hold on to our bat, hit too high, and then squat down to hit too low. All right.",掃除を頑張ったから、ビーチバットで楽しもう！！！！バットを使って高いところで二回うつ、次はひざを曲げて低いところで二回うつよ,Time: 0:06:04.940000,,0:06:04.940000,0:06:15.245000,0:06:04.940000,0:06:15.245000
Alright. Who's ready to become a beach bat boss? Here we go.,準備はいいかな？行くよ！,Time: 0:06:15.285000,,0:06:15.285000,0:06:18.885000,0:06:15.285000,0:06:18.885000
Hitting 2 high and then 2 low.,2回高いところ、そして二回低いところ！,Time: 0:06:19.030000,,0:06:19.030000,0:06:22.261000,0:06:19.030000,0:06:22.261000
"Nice one, guys.",いいショットだね！！,Time: 0:06:23.080000,,0:06:23.080000,0:06:24.240000,0:06:23.080000,0:06:24.240000
So we're focusing here.,集中していこう！,Time: 0:06:24.581000,,0:06:24.581000,0:06:26.075000,0:06:24.581000,0:06:26.075000
We're trying to get every single ball.,ボールを落とさないようにしてね！,Time: 0:06:26.487000,,0:06:26.487000,0:06:29.180000,0:06:26.487000,0:06:29.180000
